bin_center,count,frequency
-7.95,9,3.9237570409640234e-05
-7.8500000000000005,8,3.4877840364124654e-05
-7.750000000000001,6,2.615838027309349e-05
-7.650000000000001,6,2.615838027309349e-05
-7.550000000000002,8,3.4877840364124654e-05
-7.450000000000002,6,2.615838027309349e-05
-7.350000000000002,11,4.79570305006714e-05
-7.250000000000003,12,5.231676054618698e-05
-7.150000000000003,7,3.0518110318609074e-05
-7.050000000000003,6,2.615838027309349e-05
-6.950000000000004,7,3.0518110318609074e-05
-6.850000000000004,5,2.1798650227577907e-05
-6.750000000000004,6,2.615838027309349e-05
-6.650000000000005,7,3.0518110318609074e-05
-6.550000000000005,9,3.9237570409640234e-05
-6.4500000000000055,3,1.3079190136546745e-05
-6.350000000000006,1,4.359730045515582e-06
-6.250000000000006,4,1.7438920182062327e-05
-6.150000000000007,5,2.1798650227577907e-05
-6.050000000000007,9,3.9237570409640234e-05
-5.950000000000007,9,3.9237570409640234e-05
-5.850000000000008,14,6.103622063721815e-05
-5.750000000000008,7,3.0518110318609074e-05
-5.650000000000008,11,4.79570305006714e-05
-5.550000000000009,18,7.847514081928047e-05
-5.450000000000009,16,6.975568072824931e-05
-5.350000000000009,24,0.00010463352109237396
-5.25000000000001,28,0.0001220724412744363
-5.15000000000001,42,0.00018310866191165444
-5.0500000000000105,33,0.0001438710915020142
-4.950000000000011,28,0.0001220724412744363
-4.850000000000011,37,0.00016131001168407652
-4.7500000000000115,32,0.00013951136145649862
-4.650000000000012,35,0.00015259055159304536
-4.550000000000012,32,0.00013951136145649862
-4.450000000000013,39,0.00017002947177510768
-4.350000000000013,46,0.00020054758209371676
-4.250000000000013,58,0.00025286434263990375
-4.150000000000014,56,0.0002441448825488726
-4.050000000000014,65,0.0002833824529585128
-3.9500000000000144,94,0.0004098146242784647
-3.8500000000000147,100,0.00043597300455155817
-3.750000000000015,82,0.00035749786373227767
-3.6500000000000155,95,0.00041417435432398027
-3.550000000000016,99,0.0004316132745060426
-3.450000000000016,110,0.00047957030500671397
-3.3500000000000165,142,0.0006190816664632126
-3.250000000000017,116,0.0005057286852798075
-3.1500000000000172,135,0.0005885635561446035
-3.0500000000000176,136,0.0005929232861901191
-2.950000000000018,153,0.000667038696963884
-2.8500000000000183,164,0.0007149957274645553
-2.7500000000000187,181,0.0007891111382383203
-2.650000000000019,229,0.0009983781804230683
-2.5500000000000194,260,0.0011335298118340512
-2.4500000000000197,250,0.0010899325113788954
-2.35000000000002,244,0.001063774131105802
-2.2500000000000204,338,0.0014735887553842667
