source,variable,n,mean,median,std,min,max,p1,p5,p10,p25,p75,p90,p95,p99,iqr,mad,skewness,kurtosis
points,dhdt,146001,-0.2817298736816585,-0.06862126332091645,1.084863901723326,-14.959022284325828,14.976193654708645,-4.105988551589136,-1.5341533098743179,-0.97041129134805,-0.3141648811671903,0.009080761098901977,0.14981584733795472,0.27657111740401785,1.1745984687644586,0.3232456422660923,0.12487446541450997,-2.795826589579738,57.100978881803535
grid,dhdt,229372,-0.2541613536604919,-0.060519378031022426,0.6994389358797686,-12.422957250390002,12.066171616823885,-2.935997817384158,-1.3418406187840435,-0.845763823734489,-0.2604344134259816,0.006739637287316472,0.115037344167675,0.20408956845663806,0.36612020104361775,0.2671740507132981,0.10347275425328975,-5.7468520194001425,65.42050554465288
points,p2,141738,0.006823214110801363,-0.0033724723192078837,0.30312821173072857,-1.9998678869422364,1.997915036411335,-1.0239831424839783,-0.37797274772201,-0.2111674312448943,-0.07247157654566791,0.06439407000556395,0.25852580802247405,0.45605828790369807,1.0929267900725297,0.13686564655123185,0.06848765001247545,0.23585750827298477,10.947922621311198
grid,p2,229124,0.011075179964146519,-0.00136578926621917,0.1683484621080813,-1.791507920462215,1.864924890074904,-0.4531213228333435,-0.2126436820204855,-0.12912092745746423,-0.05052606896712643,0.050389708882400866,0.18560217411374227,0.29010565761412477,0.5650230756193143,0.1009157778495273,0.050261636099451834,0.6863407340248228,11.59587605301646
